name,url,location
ABiMS Tools,http://webtools.sb-roscoff.fr,FR
ABiMS,http://galaxy3.sb-roscoff.fr/,FR
AGEseq Galaxy @ AspenDB,http://aspendb.uga.edu:8085/,US
APOSTL Galaxy,http://apostl.moffitt.org/,US
ARGs-OAP Galaxy,http://smile.hku.hk/SARGs,HK
Antigen Receptor Galaxy,https://bioinf-galaxian.erasmusmc.nl/argalaxy/,NL
BIPAA,https://bipaa-galaxy.genouest.org,FR
BioCiphers Galaxy,http://avispa.biociphers.org/,
BioMaS Galaxy,http://galaxy.cloud.ba.infn.it:8080/,IT
Biomina,http://biominavm-galaxy.biomina.be/galaxy/,AU
BitLAB Galaxy,http://pistacho.ac.uma.es/galaxy/,ES
CART,http://cart.embl.de/,DE
CBiB Galaxy,http://services.cbib.u-bordeaux2.fr/galaxy/,FR
CPT,https://cpt.tamu.edu/galaxy-pub/,US
ChimeRScope Galaxy,https://galaxy.unmc.edu/,US
Cistrome,http://cistrome.org/ap/root,US
CoSSci,http://socscicompute.ss.uci.edu/,US
DBCLS Galaxy,http://galaxy.dbcls.jp/,JP
Dintor,http://dintor.eurac.edu/,IT
EpiToolKit Galaxy,http://www.epitoolkit.de/,DE
Erasmus MC,https://bioinf-galaxian.erasmusmc.nl/galaxy/,NL
FROG,http://ab-openlab.csir.res.in/frog/,IN
Galaxy Europe,https://usegalaxy.eu,DE
GIO,http://gio.sbcs.qmul.ac.uk/,UK
GVL Melbourne,http://galaxy-mel.genome.edu.au/galaxy/,AU
GVL Queensland,https://galaxy-qld.genome.edu.au/,AU
GVL-Tutorial,http://galaxy-tut.genome.edu.au/galaxy/,AU
GalaxEast,http://use.galaxeast.fr/,FR
Galaxy Palfinder,https://palfinder.ls.manchester.ac.uk,UK
Galaxy-CEFAP,http://cefap.icb.usp.br/galaxy,BR
Galaxy-P,https://usegalaxyp.org/,US
Galaxy@GenOuest,https://galaxy.genouest.org,FR
Galaxy@PRABI,http://galaxy.prabi.fr/,FR
Galaxy@Pasteur,https://galaxy.pasteur.fr/,FR
Genomic Hyperbrowser,http://hyperbrowser.uio.no/hb/,NO
GrAPPA,https://grappa.eecs.utk.edu/grappa/,US
Halogen Bonding Galaxy,http://134.2.17.68:8081/,DE
Huttenhower Lab,http://huttenhower.sph.harvard.edu/galaxy/,US
IAPT,http://cloudimaging.net.au/,AU
IBERS @ Aberystwyth Galaxy,http://share-galaxy.ibers.aber.ac.uk/,UK
IRRI Galaxy,http://galaxy.irri.org/,PH
ImmPort Galaxy,http://immportgalaxy.org/,US
In Silico Galaxy,http://insilico.utulsa.edu/galaxy/,US
Institut Curie Galaxy,https://galaxy-public.curie.fr/,FR
Koslicki Lab Galaxy,http://math-galaxy.cgrb.oregonstate.edu:8080/,US
LAPPS Grid,http://galaxy.lappsgrid.org/,US
LiSIs,http://lisis.cs.ucy.ac.cy/,CY
MBAC Metabiome Portal,http://mbac.gmu.edu:8080/,US
MGEScan on Galaxy Workflow System,http://149.165.158.125:38080/,US
MISSISSIPPI,http://mississippi.fr/,FR
MPDS,http://mpds.osdd.net/,IN
MPI-HLR Bioinformatics,https://bioinformatics.mpi-bn.mpg.de/,DE
Main,https://usegalaxy.org,US
Majewski Lab ExomeAI,http://genomequebec.mcgill.ca/exomeai,CA
Martin Luther University Halle-Wittenberg,http://galaxy.informatik.uni-halle.de,DE
MiModD NacreousMap,http://mapping-by-sequencing.vm.uni-freiburg.de:8080/,DE
NBIC,http://galaxy.nbic.nl/,NL
NELLY,http://www.bioinformatica.ucr.ac.cr:8080/,CR
Nebula,http://nebula.curie.fr/,FR
OSDDlinux LiveGalaxy,http://osddlinux.osdd.net:8001/,US
Oqtans,https://galaxy.inf.ethz.ch/,CH
Orione,http://orione.crs4.it/,IT
Osiris Galaxy,http://galaxy-dev.cnsi.ucsb.edu/osiris/,US
PGTB Galaxy,https://galaxy-pgtp.pierroton.inra.fr,FR
PIA Galaxy,http://galaxy-dev.cnsi.ucsb.edu/pia/,US
PhenoMeNal,http://public.phenomenal-h2020.eu/,EU
Pitagora-Galaxy,http://try.pitagora-galaxy.org/galaxy/,JP
PlantGenIE,http://galaxy.plantgenie.org:8080/,SE
PreSTIGE,http://prestige.case.edu/,US
PredPharmTox,http://galaxy.predpharmtox.org/,SE
QBRC Galaxy,http://www.galaxy.qbrc.org/,US
RDF2Graph,http://semantics.systemsbiology.nl/RDF2Graph/,NL
RNA-Rocket,http://rnaseq.pathogenportal.org/,US
RNA-Seq Portal,http://weizhongli-lab.org:8088,US
RepeatExplorer 1,http://repeatexplorer.umbr.cas.cz/,CZ
RiboGalaxy,http://ribogalaxy.ucc.ie/,IE
SCDE,http://discovery.hsci.harvard.edu/galaxy/,US
SIFTED Galaxy,http://ec2-54-88-183-115.compute-1.amazonaws.com/,US
South Green Galaxy,http://galaxy.southgreen.fr/galaxy/,FR
USMI Galaxy Demonstrator,http://bioinformatics.hsanmartino.it:8080,IT
VarCap Galaxy,http://galaxy.csb.univie.ac.at:8080,AT
Vinther Lab,http://galaxy.bio.ku.dk/,DK
VirAmp Galaxy,http://viramp.com/,
Wageningen UR Galaxy,https://galaxy.wur.nl/galaxy_production/,NL
Whale Shark,http://whaleshark.georgiaaquarium.org/,US
ZBIT Bioinformatics Toolbox,http://webservices.cs.uni-tuebingen.de,DE
ballaxy,https://ballaxy.bioinf.uni-sb.de,DE
deepTools2,http://deeptools.ie-freiburg.mpg.de/,DE
kmer-SVM,http://kmersvm.beerlab.org/,US
workflow4metabolomics,http://galaxy.workflow4metabolomics.org,FR
